time,Q,S,I,R,D,V
0,0.0,990.0,10.180166414101963,0.0,0.0,0.0
1,0.48784427028787136,939.8025761063793,10.611590475285514,1.0482372806957252,0.1029804578676614,48.23445168771633
2,0.9497524581301048,892.0986369221843,10.844460775377025,2.2130284357251404,0.21122542906666247,94.02181402448338
3,1.3833455473808625,846.7828635588842,11.37516604288176,3.2353927269266465,0.32366213345327144,137.48411671401325
4,1.7864217265172007,803.7525296352948,10.67787249272681,4.461071891232855,0.43920262599601667,178.73818975657338
5,2.1570636923490185,762.9072365549398,10.407674318050958,5.704515992842209,0.5567703767665512,217.895785809085
6,2.493722454390011,724.1487876731624,9.900821698802288,7.468288824614488,0.6753242589422768,255.0636929419215
7,2.7952764962746572,687.3811751907069,9.986131396432869,8.19154802305121,0.7938791773977049,290.3438439358044
8,3.0610665669419976,652.5106519943998,11.312075733095316,9.152482256969188,0.911522861168308,323.83342728332235
9,3.2909077094117096,619.4458611587498,9.606609045317809,11.750774426199737,1.0274286089333575,355.62500325288204
10,3.48508108947052,588.0979983591461,9.915882224175412,12.194676478126429,1.1408640336140408,385.8066273598346
11,3.6443087855502907,558.3809858400874,9.294516629018988,12.817069097614759,1.25119602562295,414.4619823283852
12,3.7697150546361446,530.2116407111032,8.901744748610025,14.896502043860812,1.3578923026539327,441.67051870599823
13,3.862777697800597,503.50982457876,9.040339624579877,13.94509728369171,1.4605200103569753,467.50760344449253
14,3.925272974947511,478.19856561760133,8.225764238938705,17.242766164543063,1.558741885674547,492.04467529607814
15,3.9592172161791046,454.2041477934858,7.218538980925829,17.97378393281715,1.6523105063139427,515.3494055134505
16,3.966807872670243,431.4561649819838,6.698999995275142,20.003818305958355,1.741061132930128,537.4858621411496
17,3.9503662807002997,409.8875401512402,5.751331020176446,20.54604174663138,1.8249036121435698,558.5146761356905
18,3.912283923355271,389.43451159079854,5.697821631097249,21.783126855046838,1.9038137554648387,578.4932076084152
19,3.8549734979757946,370.0365894140688,5.1313350667810305,19.645654121381654,1.9778245479733447,597.4757106189569
20,3.78082565769363,351.6364863168731,4.7766967700407275,22.949618638192124,2.0470174765026172,615.5134951326996
21,3.6921719083912494,334.1800269262146,4.348564987435664,24.95134878662633,2.111514204315111,632.6550849687292
22,3.5912538179375235,317.61604012833544,3.509936578357658,22.47113272054451,2.171468761489445,648.9463707709285
23,3.480198437761299,301.89623861073676,3.859061012713457,24.338372260778172,2.227060369704081,664.430757228777
24,3.360999623162274,286.9750894370704,3.5339190787889603,25.183220881122587,2.2784869704603783,679.1493040711393
25,3.2355047867657047,272.80967911397084,2.7500480254226902,25.716749282423166,2.3259594899299034,693.1408604481057
26,3.1054065497671317,259.3595761519288,2.4530080618060466,26.959426819199216,2.3696968473549727,706.4421924653361
27,2.972238678272926,246.58669358408198,2.2793089040715757,26.53129784458645,2.4099216851630993,719.0881038357826
