time,Q,S,I,R,D,V
0,0.0,990.0,10.100168121813015,0.0,0.0,0.0
1,1.1015141063105218,974.5314790916108,12.83936805136123,1.2095210830771168,0.23522867852585327,9.823729880263318
2,2.44545516264857,957.6155241283534,18.972780197557878,2.803422987677142,0.5530352888328,19.48580973305483
3,4.098598315925808,938.9045088431687,21.043628449574644,4.9317933890921495,0.9744737424941128,28.970060755419418
4,6.137697742442244,918.0166507371148,26.210732092711293,8.106557811197343,1.5246048580189735,38.25664558245648
5,8.647989299192862,894.5553665851205,32.787108231726926,11.484464819062618,2.2324591445301865,47.32181395708269
6,11.719741020064763,868.1413253548983,48.04851825297799,16.435393042852454,3.1305414020787046,56.13790352856998
7,15.442238195518346,838.4584890036421,50.85669857970866,22.20899043751504,4.253691033512836,64.67373107374979
8,19.894805162930354,805.312224358581,63.52561703795515,33.118875858267835,5.637140254094389,72.89550793976485
9,25.134992662195746,768.6925497664301,73.96266715285728,40.50102062260496,7.313713165496499,80.76837050128854
10,31.18492849914444,728.8297809095544,91.45736104491205,47.689983659551054,9.31029747420512,88.25851789988228
11,38.01790366625411,686.2257408676548,94.16981046549199,64.44484121310585,11.643978340590785,95.33579872371273
12,45.54818167856459,641.6446237600286,116.17239646771345,80.36996251778706,14.318478747378913,101.97641907404596
13,53.62725192309616,596.055772802873,129.99990508464984,90.2390188531622,17.321686539670818,108.1653199929771
14,62.04887563357234,550.5346980602519,143.2800422269877,118.97585984787192,20.624954613386116,113.89776209871407
15,70.56331834456617,506.1429727856204,153.18589360685846,141.67057015266485,24.18451016729581,119.17979301735545
16,78.89874218059066,463.81505070221914,145.56507080935927,153.14675321754873,27.94480207125581,124.02752471637413
17,86.78581299138708,424.27660587020785,161.50738621229306,174.71281639499816,31.84314581668539,128.4654202722103
18,93.98094256014777,388.0068841416162,145.57222028198288,202.69467939486725,35.814775666346705,132.5239798365991
19,100.28437290435917,355.24331595869495,157.45243739148634,221.9100785396752,39.797450756535554,136.23726829641663
20,105.55102697135774,326.0165503879577,137.81484797759197,252.19841348509678,43.73502254874043,139.64065292412792
21,109.69391491662863,300.200622224771,130.03881724547873,263.7703768590354,47.57971084001744,142.76898025926656
22,112.6813015720585,277.5651297982971,128.4217641925916,310.11632170849623,51.29313696515934,145.65527321432847
23,114.52955413228827,257.82089670227106,102.5825485969973,330.8764922656157,54.84634762058499,148.32992283723286
24,115.293656654523,240.6553668489874,110.74919543954962,323.25854388027204,58.219135433975225,150.82028655531002
25,115.05706908645308,225.75732324271868,98.27686732468845,323.91701332202416,61.398949791023725,153.15058649375322
26,113.9221089204017,212.83242425608213,90.8384213129321,364.0702233363496,64.37963374119828,155.34200728827375
27,112.00156349667215,201.6117038690623,76.20412524093214,354.99637998913767,67.16015357658618,157.41291231018457
28,109.41184290246242,191.8551535401347,69.60736448500722,434.44134416542545,69.74342301679397,159.37911864772326
29,106.26772063265686,183.35213203992643,60.94303862898719,379.505650577598,72.13527550860618,161.2541907113705
30,102.67853367275241,175.9199073764515,53.01891780844983,417.48417372679444,74.34360208700686,163.0497277787232
31,98.74563910380093,169.40122786303098,43.165014479640966,403.80445233495664,76.37765214185741,164.77563148092253
32,94.56089193255735,163.66150474880078,44.460094055872474,485.5954694966486,78.24748213232469,166.44034665016997
33,90.20591589401464,158.5859563379497,36.68342647097526,465.16633668323203,79.96353190146012,168.05107359613194
34,85.75196466546939,154.07690852265407,33.32042466777892,436.02299676347184,81.53630734165675,169.61395249463132
35,81.26020227416532,150.0513467933287,29.96581199255073,496.65004170410145,82.97614925292179,171.13422200426018
36,76.78226552612117,146.43875397963114,23.7503110853256,452.4914774755278,84.29307062850685,172.6163548131234
37,72.36100027602751,143.1792331576964,21.192015488112347,538.6281169431022,85.49664714496636,174.0641729913898
38,68.03129030263041,140.2218964751462,18.528291189514412,525.7401980903094,86.5959483175669,175.4809459132636
39,63.820920575664424,137.523491653994,16.064344399869743,508.02159180452844,87.59949924693778,176.86947330963483
40,59.75143303966403,135.04723706087128,14.181233547475223,534.9564178212779,88.51526500635283,178.23215563930415
41,55.83894587683236,132.7618364689871,11.040318247838409,511.279068823555,89.35065133911442,179.5710537160396
42,52.0949200894774,130.64064601084092,9.992920946263801,519.4885047894235,90.11251692232271,180.8879392977009
43,48.52686200747449,128.66097094469342,9.04055985500212,528.7493193166976,90.80719348567258,182.18433798295285
44,45.138957781210046,126.80347118324909,7.977355625317652,562.8171932276418,91.4405110239343,183.4615656516073
45,41.93263924128827,125.0516585991796,6.158751735642989,571.7421859530313,92.0178260678717,184.72075942843617
46,38.907082593494124,123.39147156256276,5.7369574371265175,490.11930374236783,92.54405145882004,185.96290401327937
47,36.059644267931674,121.81091421729273,4.8432191231403925,589.7216362953424,93.02368658355525,187.18885409697492
48,33.38623789853642,120.29975053235933,3.577087879423612,591.5289458170341,93.4608472433671,188.3993534437075
