time,Q,S,I,R,D,V
0,0.0,990.0,10.485328164427607,0.0,0.0,0.0
1,0.5136109452715213,967.2851332886987,10.86982374360307,1.113555430823073,0.1083209030118495,19.572672623045424
2,1.0567303091634457,944.6692438025618,13.560159136268123,2.3564479788673447,0.23416146346896138,38.69206430827616
3,1.6323892313465505,922.1384289585981,14.606886172287727,3.8685809570248946,0.3788114669319408,57.36000853585939
4,2.243006642145901,899.6832931315856,15.89542757045476,5.602924749497064,0.5434983925862235,75.57810487527787
5,2.8902895160869795,877.2994621905925,16.915727582609314,7.728546874949206,0.7293528942144514,93.34781441372205
6,3.575138483837311,854.987989990465,22.880004217429207,9.633591189113526,0.9373732029995281,110.67056448084367
7,4.29756399872843,832.7556255506133,23.811924251421807,11.376768873803098,1.1683896795944382,127.54786010869157
8,5.056618283684571,810.6149141662867,25.049101542571165,14.332662719431262,1.4230308354377101,143.981399253703
9,5.8503482608451085,788.5841118393407,24.996371004247706,19.013617041945643,1.7016922758357675,159.9731881955434
10,6.675774119593782,766.6869016235812,29.14296457266147,21.467687904500277,2.0045100117103543,175.52565324169208
11,7.528897287545043,744.951911257415,31.75011847377067,23.846355144408854,2.3313394957500506,190.64174477469814
12,8.404740339670731,723.4120433230629,33.38845956436417,28.933752680361636,2.6817415709505985,205.32502974199892
13,9.297419834680094,702.1036409558658,33.928965065270354,32.5600415662186,3.054976244080908,219.5797690590626
14,10.200251331107575,681.0655228912001,37.15229582000578,38.32253545774112,3.4500048541175685,233.41097695712276
15,11.105884021120717,660.3379302421839,38.64704612607822,41.94009723094019,3.865500806882495,246.82446007044695
16,12.006460625336794,639.9614332339696,35.51085487169879,42.98666242176181,4.299868613038018,259.82683497590926
17,12.893796829995054,619.9758471257387,39.05225226470907,48.92504241780355,4.751270574689207,272.4255238772068
18,13.759573173514422,600.4192061210168,41.59857242538145,55.06999417556613,5.217660064679614,284.6287291029594
19,14.59553170404773,581.326837811482,37.4822791503083,58.77549075801231,5.696820046132238,296.44538804137585
20,15.393669590550921,562.7305725331983,39.49952604309916,66.28843706801634,6.186405287814546,307.8851108654898
21,16.14642212712662,544.6581124239228,42.314127394644316,77.13873848685893,6.683986616977757,318.95810399327394
22,16.84682833059311,527.1325742009888,38.213108155026596,84.27490426767935,7.187095546524181,329.6750826123112
23,17.488673414401642,510.1722086768184,39.69315056276962,75.96276646214123,7.693267656580712,340.04717591894723
24,18.066604229826293,493.79028981391474,43.5190348909585,88.26911891336466,8.200083422159768,350.08582838131116
25,18.576214738333288,477.99515923612785,37.118189563066736,87.00354543946757,8.705205255084078,359.80270046552357
26,19.014100822209578,462.790405157923,40.81869627543611,106.72149015785463,9.206409964036352,369.20957155827955
27,19.377884719152778,448.17515210312234,40.26733455141559,102.11867746393457,9.701616016420187,378.31824758936745
28,19.666210803129683,434.1444353011536,38.25619016877043,108.4425327151404,10.188905279716899,387.1404753802404
29,19.87871560616021,420.68963378577234,40.16649463942837,107.75800606028038,10.666539211936026,395.68786515891486
30,20.01597549713371,407.7989392922495,36.04801536110265,120.2142287979824,11.132969695878652,403.9718220520436
31,20.079436057085324,395.4578390398379,33.1131744244878,122.94164838881134,11.586844840191473,412.0034871792969
32,20.071327374411506,383.64959496701914,33.92821251356133,129.5986819302593,12.027010251744716,419.79368836891314
33,19.99456937408321,372.35570516983967,29.86197257417157,135.2409106660159,12.452506336380733,427.3529002975393
34,19.852671145102317,361.55633668145856,28.388834710231244,142.54774697142935,12.86256224199129,434.6912135944992
35,19.649627865249567,351.23072209378074,27.40553029581513,137.6854357050209,13.25658707157031,441.81831225558557
36,19.389818511849036,341.35751530474647,26.606229107536077,137.2498566818945,13.634158985839957,448.7434585884994
37,19.077906796235325,331.9151047486567,25.397316442120403,156.35491033372023,13.995012740664722,455.47548483971093
38,18.71874766693564,322.8818831467545,22.682248462143853,161.74801120775996,14.339026208881046,462.0227906542405
39,18.317300773560266,314.2364756966163,21.86487483902873,165.0264505030884,14.66620631737558,468.39334550184014
40,17.878552034162475,305.9579288297127,21.415032240370437,168.21337219315697,14.976674781855634,474.59469528838935
41,17.407444148544602,298.0258622283559,18.63220796200927,182.20854100799295,15.270654005169504,480.63397236261505
42,16.908816167813097,290.4205880564817,18.242665247637742,173.10514361867234,15.54845336802589,486.5179082277017
43,16.387352409481824,283.1232007497611,17.34609464792999,167.4525537080345,15.810456156493851,492.2528482815743
44,15.84754006253289,276.11564153062733,15.263583470566495,160.418774388218,16.057107159568428,497.8447682342019
45,15.29363531599207,269.3807405243325,16.03097006257732,170.7832436796429,16.288901213612313,503.2992914613851
46,14.729637580090198,262.9022402365717,14.411835632519553,175.7937990032844,16.506372664502244,508.62170700194184
47,14.159270862756703,256.6648034330776,12.045081118967547,176.69440802252214,16.71008574776425,513.8169879550113
48,13.585971575414431,250.65400810828444,11.593492669075928,204.59400114244517,16.90062595257606,518.8898098711494
49,13.012882098995949,244.85633216806494,11.465840539414875,179.690866398971,17.078592350839703,523.8445688821782
50,12.442849524542565,239.25912979679015,9.693858089210359,200.93878563523134,17.244590840219114,528.6853994691048
51,11.878428551419052,233.85060152053074,9.500913723771113,212.66499838824726,17.39922824526231,533.4161917208752
52,11.321887971466369,228.61975956689417,7.917395923063642,183.28574314473136,17.54310724753862,538.0406079277728
53,10.775220063362609,223.55638997469296,8.304638998259309,200.61280400442553,17.676822083731135,542.5620984195361
54,10.240152364802638,218.6510124401505,7.104685836643185,201.20767559690566,17.800954937397155,546.9839166531759
55,9.718161238585774,213.89483897800784,6.444460243673133,209.8503629396101,17.916072973857226,551.309133469165
56,9.210486733867361,209.27973213541506,6.073863652431411,216.40648463418094,18.022725947455513,555.5406505236346
57,8.718148339597404,204.79816340788688,5.471172268995793,194.33672201310839,18.121444325415883,559.6812128832569
58,8.241961260731088,200.44317236315038,4.857964123764718,200.81658238476095,18.2127378695384,563.7334207932116
59,7.782552903366278,196.20832686259376,4.470288299730161,207.20940101064866,18.297094620418985,567.6997406381572
60,7.340379304271575,192.08768467956264,3.771489846305357,199.86726661266565,18.374980232864118,571.5825151215532
61,6.9157412854801485,188.0757567360601,3.7139101073433136,210.07292977919522,18.446837615015994,575.3839726934563
62,6.50880015585881,184.16747211345745,3.014033088622327,210.40353761812744,18.513086827568763,579.1062362606503
63,6.119592818636104,180.3581449377129,2.936463145487064,206.14188153994016,18.57412520332659,582.7513312155869
64,5.74804617673943,176.64344319420093,2.5668746279072696,210.48321815999233,18.630327651163004,586.3211928222191
65,5.393990756552277,173.0193594903512,2.12155300367693,202.8426337317262,18.682047112123428,589.8176729975684
66,5.057173495578265,169.48218375468196,1.9422252888957638,232.5324857623661,18.729615138919648,593.2425465279302
67,4.737269660771405,166.02847783738858,1.8700129775025556,206.00295669616307,18.77334257336431,596.5975167581515
68,4.433893882271605,162.65505195944883,1.599157064708941,223.83857643341702,18.813520299366534,599.8842207915172
69,4.146610302286037,159.35894294338718,1.4434132682561662,219.13492028168187,18.85042005194872,603.1042342365693
70,3.874941851189416,156.1373941486935,1.2556343655836266,223.98285090533668,18.884295265347465,606.2590755357319
71,3.6183786728753686,152.9878370277987,1.1047538261289973,213.41518173384478,18.91538194563306,609.3502099089985
72,3.3763857292561554,149.9078742139485,0.9929195820027157,196.99953717034023,18.943899555428725,612.3790529442043
73,3.1484096198408573,146.89526404984224,0.9287634598353633,211.63008048009675,18.970051900242847,615.3469738636041
74,2.9338846567648282,143.94790646513124,0.8510301365105426,226.70510034814794,18.99402800765636,618.2552984946516
75,2.732238238718787,141.06383011147454,0.7429541765868075,213.67714972814167,19.016002992145232,621.1053119710366
76,2.5428955691377344,138.24118066554846,0.6471302789905191,212.32234968541917,19.036138899678296,623.8982611882327
77,2.3652837651136744,135.47821021221526,0.6688039872433272,220.51351678294006,19.054585527484033,626.6353570362031
78,2.1988354028413846,132.77326762557988,0.5615097681056823,198.73586295845428,19.071481215237903,629.3177764297095
79,2.042991546426788,130.1247898665191,0.43522793064022536,203.93610017893084,19.08695360512593,631.9466641556153
80,1.8972043041567523,127.53129412050772,0.3869082100051032,218.70641423624076,19.101120368799233,634.5231345548007
81,1.7609389551237122,124.99137070553925,0.3678930671631827,217.58096741514407,19.114089899806757,637.048273054419
82,1.6336756881201147,122.5036766815317,0.31316800554149865,210.38762297633966,19.125961970907042,639.5231375654229
83,1.5149109922107777,120.06693009727046,0.268906993362956,219.77753329942877,19.136828356124482,641.9487597589458
84,1.4041587359160737,117.67990481771022,0.2510801065111331,219.75080328984777,19.146773417572813,644.3261462333583
85,1.3009509703723434,115.34142587546981,0.20618509744464297,206.89882995514895,19.155874657795223,646.6562795834286
86,1.204838488027295,113.05036529807454,0.18770235527056864,228.6931552394019,19.16420323808174,648.940119381164
87,1.115391167319876,110.80563836405796,0.1685924844741266,229.1538636503585,19.171824463812502,651.1786030774628
88,1.0321981309954822,108.60620024425653,0.16095071134490122,210.35517092444357,19.17879823810389,653.372646833003
89,0.954867743630507,106.45104299050895,0.1402935408449613,206.79552566374116,19.18517948492104,655.5231462854143
90,0.883027471293846,104.3391928354853,0.10888573809240795,202.28156573168147,19.19101854309577,657.6309772595279
91,0.8163236243024228,102.26970777277981,0.1024200968704744,231.79845367377652,19.19636153239122,659.6969964262117
92,0.7544210019818437,100.24167538634359,0.10168583008940468,205.1519554389324,19.201250693288912,661.7220419155029
93,0.6970024566460965,98.2542109033124,0.0798402187336411,207.67034288911145,19.205724701884414,663.7069338886025
94,0.6437683918601806,96.30645544599133,0.06630206505490309,226.24269154878655,19.20981896137323,665.652475073048
95,0.5944362087091313,94.39757446231783,0.06311965892319006,228.21494547638406,19.21356587133234,667.5594512645179
96,0.5487397117432208,92.5267563141555,0.05408757628920657,215.61339246268878,19.216995076388194,669.4286317989881
97,0.5064284853385421,90.6932110063455,0.05453849762847719,224.31898509291034,19.220133695583495,671.2607699981235
98,0.46726724961579286,88.89616904096252,0.039997241495576964,204.41446265625623,19.223006533697284,673.0566035905213
99,0.43103520410140267,87.13488038305294,0.029882576939012327,221.88949183702192,19.225636275681765,674.8168551110449
100,0.39752536567696145,85.40861352468669,0.03191840583709835,223.88227897198223,19.228043665532713,676.5422322805873
101,0.36654390684846994,83.71665463640163,0.027519584106824264,221.87777125129665,19.230247670703292,678.2334283680618
102,0.33790949956952665,82.05830679647148,0.02360846032365918,220.99802308090116,19.23226563302327,679.891122536096
103,0.31145266858476345,80.43288928883035,0.021064614695429935,205.3955698756165,19.23411340719448,681.5159801720267
104,0.28701515773739766,78.83973696177513,0.016263563660631673,202.51983644003903,19.23580548783068,683.1086532055244
105,0.26444931207040767,77.27819964054467,0.015493970785029579,220.03352155019599,19.2373551259213,684.6697804139826
106,0.24361747833759434,75.74764158793934,0.013434526299725472,214.34892897051287,19.238774435470145,686.1999877165123
107,0.22439142524989333,74.24744100711716,0.012880391445067448,219.41902499200333,19.240074491172034,687.6998884576624
108,0.206651784956329,72.77698958192359,0.010737922695921394,193.06676378159796,19.2412654178264,689.1700836815944
109,0.19028751671761945,71.33569205053239,0.009587181544685297,218.8895137612439,19.242356472146934,690.6111623974074
110,0.17519539357444378,69.9229658087867,0.008073798705480938,228.32632206176757,19.243356117562566,692.023701836155
111,0.16127951203840113,68.53824053970521,0.007214804125025875,204.48492195476248,19.24427209263381,693.4082677002707
112,0.14845082510101923,67.18095786641281,0.005301999107867642,228.67291327016508,19.24511147359196,694.7654144058017
113,0.1366266983517015,65.85057102587218,0.0051950227536830314,225.67981814698123,19.24588073150281,696.0956853179524
114,0.12573048912988644,64.54654456132054,0.0046573643836439445,237.73047623826847,19.246585784482416,697.3996129802229
115,0.11569114812294573,63.26835403131955,0.003962629334668119,188.3969427827486,19.247232045406772,698.6777193375887
116,0.10644284287956905,62.0154857336928,0.0034924967032268868,229.72043928291868,19.247824465498088,699.9305159540442
117,0.09792460274003231,60.78743644292957,0.003166907993321055,232.38808605490254,19.248367574127855,701.1585042247214
118,0.09007998434882997,59.58371315962054,0.0025385140161176744,245.37720019582235,19.248865515175602,702.3621755829234
119,0.08285675713809126,58.40383287086036,0.0021783184321654864,204.39434899380225,19.24932208022581,703.5420117022248
120,0.07620660792992644,57.2473223205483,0.0018727801561596237,219.1091034715099,19.2497407388835,704.6984846938842
121,0.07008486384722498,56.11371778869192,0.0016307948646980864,218.5319556760274,19.250124666457868,705.8320572997571
122,0.06445023271118426,55.00256487893134,0.0015175603776080425,192.7072580457596,19.25047676924195,706.9431830808822
123,0.05926456009572218,53.91341831359601,0.0012577083393392793,203.23725250800223,19.250799707597142,708.0323066018933
124,0.05449260220930981,52.84584173568856,0.0011550581134375673,220.3756992689688,19.251095917033833,709.0998636114017
125,0.050101813782476926,51.79940751726214,0.0008765141015788571,200.29971287050685,19.251367627462887,710.1462812184845
126,0.04606215015313246,50.77369657372197,0.0007967019994995753,209.07018107252765,19.25161688077785,711.1719780653984
127,0.042345882760696896,49.768298183636645,0.0007582371227954518,231.5138883184114,19.25184554691371,712.1773644966363
128,0.038927427282652444,48.78280981369426,0.0005877844030874545,226.4512951343064,19.25205533851546,713.1628427244325
129,0.035783183672292426,47.81683694848075,0.0005344199806887725,216.9620887996639,19.25224782433795,714.1288069908138
130,0.032891387383181626,46.86999292479465,0.0004944566989076053,221.4235508087565,19.252424441488003,715.0756437262925
131,0.030231971093424317,45.941898770243675,0.000398496649006322,230.77798744890003,19.25258650661007,716.0037317052864
132,0.02778643627101724,45.03218304589429,0.0003361537347596958,215.97856658056688,19.252735226107912,716.9134421983529
133,0.02553773395048565,44.140481692766826,0.0003034806329554276,212.38616073906522,19.252871705486758,717.8051391213205
134,0.023470154120950566,43.26643788198685,0.00022480814722013244,215.98298978647227,19.25299695789289,718.6791791814027
135,0.021569223177234833,42.4097018684528,0.00021278479546322623,218.66523979638626,19.253111911919405,719.535912020339
136,0.01982160893387595,41.569930847937705,0.00018342291052620162,230.67668206179053,19.253217418739364,720.375680354573
137,0.018215032560652798,40.74678881728443,0.00017180870314204203,209.74918140390557,19.253314258634603,721.1988201127327
138,0.016738187129179787,39.93994643784717,0.00015843018912707727,223.95346118504122,19.253403146960924,722.0056605702098
139,0.015380662179597441,39.14908090183124,0.0001364021471391525,235.32737300172482,19.253484739608147,722.7965244811304
140,0.014132873920503955,38.373875801465125,0.00010557420795364163,213.44089013072144,19.253559637996318,723.571728207745
141,0.012986000755250917,37.61402100109324,9.394108059716077e-5,202.03393536483392,19.25362839364195,724.3315818471101
142,0.011931923700347303,36.869212512012545,8.356063598100788e-5,222.63585283475183,19.253691512335507,725.0763893552104
143,0.010963171289660158,36.13915236988445,6.427420764924331e-5,239.73525036709498,19.25374945796784,725.8064486686586
144,0.010072868681964404,35.423548514701025,6.065541557040662e-5,216.46609692839203,19.253802656032484,726.5220518239743
145,0.00925469060858327,34.722114673045176,5.123816311252639e-5,225.04319474403164,19.253851496835544,727.2234850746805
146,0.00850281808397698,34.03457024313676,4.3831035600779155e-5,202.13916164243258,19.253896338424575,727.9110290057139
147,0.007811898385565516,33.360640182077056,3.7139661101881685e-5,207.93392406540264,19.25393750927539,728.5849586457159
148,0.007177008136030848,32.70005489547568,3.5196674292036926e-5,190.17974996088333,19.253975310752466,729.2455435770121
149,0.00659361915620545,32.052550128949505,2.894602783633182e-5,233.7409103394063,19.254010019368483,729.893048043778
150,0.006057567115513682,31.417866862218542,2.5065620113098222e-5,221.52462020575194,19.25404188884474,730.5277310576603
151,0.005565022618478285,30.795751205354208,2.1120982632513248e-5,228.43269135929768,19.254071151999682,731.1498465012874
152,0.00511246450589446,30.185954297057293,1.7196063161570574e-5,212.77060737299954,19.25409802248255,731.7596432297876
153,0.00469665515962178,29.58823220448495,1.5770166885808585e-5,220.34504911828833,19.254122696367588,732.3573651707874
154,0.00431461794365253,29.002345825826087,1.3270859070272204e-5,197.92806947416108,19.25414535360236,732.9432514216907
155,0.003963616350047008,28.42806079466989,1.0516571948360662e-5,204.60405690102013,19.254166159340098,733.5175363451855
156,0.0036411347017033125,27.865147385904056,9.037447243653413e-6,216.1166434750504,19.25418526516673,734.0804496632393
157,0.003344860429442258,27.313380423503972,7.829680970366539e-6,218.07582465950378,19.254202810222314,734.6322165492213
158,0.003072667873992188,26.772539190864357,7.126651322343209e-6,227.01917673304186,19.254218922221728,735.1730577174956
159,0.00282260322865784,26.24240734237199,5.795347527235613e-6,216.60494115994715,19.254233718399842,735.7031895117834
160,0.0025928706451990155,25.722772816193846,5.261117807624005e-6,208.5480858014847,19.25424730638004,736.2228239923209
