time,Q,S,I,R,D,V
0,0.0,990.0,10.0,0.0,0.0,0.0
1,1.1015141063105218,974.5314790916108,13.115912860734726,1.1921353825547116,0.23522867852585327,9.823729880263318
2,2.44545516264857,957.6155241283534,17.066487539764406,2.8336881473458777,0.5530352888328,19.48580973305483
3,4.098598315925808,938.9045088431687,22.014181688404474,5.038176654587296,0.9744737424941128,28.970060755419418
4,6.137697742442244,918.0166507371148,28.123092529661417,7.941308550306144,1.5246048580189735,38.25664558245648
5,8.647989299192862,894.5553665851205,35.54129534353897,11.701075670534802,2.2324591445301865,47.32181395708269
6,11.719741020064763,868.1413253548983,44.375003257495756,16.49548543689254,3.1305414020787046,56.13790352856998
7,15.442238195518346,838.4584890036421,54.65492046057433,22.516930233002572,4.253691033512836,64.67373107374979
8,19.894805162930354,805.312224358581,66.29800041968419,29.962321864945142,5.637140254094389,72.89550793976485
9,25.134992662195746,768.6925497664301,79.07175668454497,39.01861722004394,7.313713165496499,80.76837050128854
10,31.18492849914444,728.8297809095544,92.57215380221353,49.844321415000145,9.31029747420512,88.25851789988228
11,38.01790366625411,686.2257408676548,106.227689262398,62.54888913938961,11.643978340590785,95.33579872371273
12,45.54818167856459,641.6446237600286,119.33900041915969,77.17329632082243,14.318478747378913,101.97641907404596
13,53.62725192309616,596.055772802873,131.1541401626165,93.6758285787665,17.321686539670818,108.1653199929771
14,62.04887563357234,550.5346980602519,140.96695850571115,111.92675108836448,20.624954613386116,113.89776209871407
15,70.56331834456617,506.1429727856204,148.21559074327325,131.71381494188896,24.18451016729581,119.17979301735545
16,78.89874218059066,463.81505070221914,152.55588393563377,152.7579963939266,27.94480207125581,124.02752471637413
17,86.78581299138708,424.27660587020785,153.8925896606454,174.7364253888641,31.84314581668539,128.4654202722103
18,93.98094256014777,388.0068841416162,152.3653389410741,197.3080788542162,35.814775666346705,132.5239798365991
19,100.28437290435917,355.24331595869495,148.29972097024768,220.13787111374603,39.797450756535554,136.23726829641663
20,105.55102697135774,326.0165503879577,142.14075890146893,242.91598826634734,43.73502254874043,139.64065292412792
21,109.69391491662863,300.200622224771,134.385794855631,265.37097690368546,47.57971084001744,142.76898025926656
22,112.6813015720585,277.5651297982971,125.52853435570181,287.276624094455,51.29313696515934,145.65527321432847
23,114.52955413228827,257.82089670227106,116.01964403956146,308.45363466806145,54.84634762058499,148.32992283723286
24,115.293656654523,240.6553668489874,106.24401579832404,328.7675387088804,58.219135433975225,150.82028655531002
25,115.05706908645308,225.75732324271868,96.51181960193298,348.1242517841184,61.398949791023725,153.15058649375322
26,113.9221089204017,212.83242425608213,87.05935856256933,366.464467231475,64.37963374119828,155.34200728827375
27,112.00156349667215,201.6117038690623,78.0559264960799,383.75774025141504,67.16015357658618,157.41291231018457
28,109.41184290246242,191.8551535401347,69.61364562716423,399.9968162657216,69.74342301679397,159.37911864772326
29,106.26772063265686,183.35213203992643,61.79816279790037,415.19251830953976,72.13527550860618,161.2541907113705
30,102.67853367275241,175.9199073764515,54.638902200971344,429.3693268840948,74.34360208700686,163.0497277787232
31,98.74563910380093,169.40122786303098,48.138169785639825,442.5616796247485,76.37765214185741,164.77563148092253
32,94.56089193255735,163.66150474880078,42.27882414686682,454.81095038928055,78.24748213232469,166.44034665016997
33,90.20591589401464,158.5859563379497,37.030489131724664,466.1630331387191,79.96353190146012,168.05107359613194
34,85.75196466546939,154.07690852265407,32.35442197241605,476.6664450031726,81.53630734165675,169.61395249463132
35,81.26020227416532,150.0513467933287,28.207216841334372,486.3708628339898,82.97614925292179,171.13422200426018
36,76.78226552612117,146.43875397963114,24.54354027799479,495.3260147746228,84.29307062850685,172.6163548131234
37,72.36100027602751,143.1792331576964,21.318088823201542,503.58085760671855,85.49664714496636,174.0641729913898
38,68.03129030263041,140.2218964751462,18.48693784244344,511.1829811489497,86.5959483175669,175.4809459132636
39,63.820920575664424,137.523491653994,16.00842419500353,518.1781910187657,87.59949924693778,176.86947330963483
40,59.75143303966403,135.04723706087128,13.843678795165065,524.6102304586428,88.51526500635283,178.23215563930415
41,55.83894587683236,132.7618364689871,11.956903585153293,530.5206090138735,89.35065133911442,179.5710537160396
42,52.0949200894774,130.64064601084092,10.315464956158229,535.9485127234999,90.11251692232271,180.8879392977009
43,48.52686200747449,128.66097094469342,8.889859846367733,540.930775732839,90.80719348567258,182.18433798295285
44,45.138957781210046,126.80347118324909,7.653596953514813,545.5018974064845,91.4405110239343,183.4615656516073
45,41.93263924128827,125.0516585991796,6.583023945708049,549.6940927175164,92.0178260678717,184.72075942843617
46,38.907082593494124,123.39147156256276,5.657124213328154,553.5373661585157,92.54405145882004,185.96290401327937
47,36.059644267931674,121.81091421729273,4.857298920074193,557.0596019141715,93.02368658355525,187.18885409697492
